OTU	Sample	Abundance	SampleID	Group	Covariate	Kingdom	Phylum	Class	Order	Family	Genus
ASV9	Indv33	0.00812820394402623	Indv33	Case	Site2	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	<1%_Abundance
ASV2	Indv122	0.00807884273750106	Indv122	Control	Site2	Bacteria	Firmicutes	Bacilli	Bacillales	Gemellaceae	<1%_Abundance
ASV17	Indv106	0.00806686046511628	Indv106	Case	Site2	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	<1%_Abundance
ASV41	Indv13	0.00805825242718447	Indv13	Case	Site1	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	<1%_Abundance
ASV41	Indv64	0.00804804804804805	Indv64	Case	Site2	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	<1%_Abundance
ASV9	Indv12	0.00803773403282476	Indv12	Case	Site1	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	<1%_Abundance
ASV18	Indv78	0.00802970674114511	Indv78	Control	Site2	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	<1%_Abundance
ASV2	Indv161	0.00801854893247029	Indv161	Case	Site1	Bacteria	Firmicutes	Bacilli	Bacillales	Gemellaceae	<1%_Abundance
ASV196	Indv15	0.00801275817806994	Indv15	Control	Site1	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	<1%_Abundance
ASV24	Indv152	0.00801162749477117	Indv152	Case	Site1	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	<1%_Abundance
ASV41	Indv112	0.0080013335555926	Indv112	Case	Site1	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	<1%_Abundance
ASV17	Indv37	0.00797364579043911	Indv37	Case	Site1	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	<1%_Abundance
ASV11	Indv21	0.00795570856983344	Indv21	Case	Site1	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	<1%_Abundance
ASV13	Indv65	0.00794324315149869	Indv65	Case	Site2	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	<1%_Abundance
ASV41	Indv53	0.00791203440720604	Indv53	Case	Site1	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	<1%_Abundance
ASV104	Indv119	0.00789728161598797	Indv119	Control	Site2	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	<1%_Abundance
ASV46	Indv52	0.007875281260045	Indv52	Control	Site1	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	<1%_Abundance
ASV59	Indv105	0.00783529215637243	Indv105	Control	Site2	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	<1%_Abundance
ASV18	Indv80	0.00781651753574	Indv80	Case	Site1	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	<1%_Abundance
ASV41	Indv121	0.00778871978513876	Indv121	Case	Site2	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	<1%_Abundance
ASV32	Indv71	0.0077065016824053	Indv71	Case	Site1	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	<1%_Abundance
ASV41	Indv27	0.00768937952036544	Indv27	Control	Site1	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	<1%_Abundance
ASV9	Indv114	0.00763686697532337	Indv114	Control	Site2	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	<1%_Abundance
ASV9	Indv95	0.00760261194029851	Indv95	Control	Site1	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	<1%_Abundance
ASV32	Indv82	0.00758373057636352	Indv82	Case	Site1	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	<1%_Abundance
ASV32	Indv154	0.00757940579133603	Indv154	Control	Site1	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	<1%_Abundance
ASV59	Indv74	0.00754968357943822	Indv74	Control	Site2	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	<1%_Abundance
ASV92	Indv134	0.00754701070916603	Indv134	Control	Site2	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae_[XIV]	<1%_Abundance
ASV104	Indv42	0.00748804792350671	Indv42	Case	Site1	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	<1%_Abundance
ASV46	Indv59	0.00746303684581084	Indv59	Control	Site2	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	<1%_Abundance
