OTU	Sample	Abundance	SampleID	Group	Covariate	Kingdom	Phylum	Class	Order	Family
ASV2	Indv141	0.0206167296786389	Indv141	Case	Site2	Bacteria	Firmicutes	Bacilli	Bacillales	Gemellaceae
ASV3	Indv140	0.0206161277021853	Indv140	Case	Site1	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae
ASV59	Indv142	0.0205554481603196	Indv142	Control	Site1	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae
ASV13	Indv138	0.0205460935387943	Indv138	Case	Site1	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae
ASV2	Indv145	0.0204634232954545	Indv145	Control	Site2	Bacteria	Firmicutes	Bacilli	Bacillales	Gemellaceae
ASV46	Indv21	0.0204243044570578	Indv21	Case	Site1	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae
ASV17	Indv60	0.0203446935337566	Indv60	Case	Site2	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae
ASV13	Indv91	0.0202911534154535	Indv91	Case	Site1	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae
ASV3	Indv3	0.0202880908906472	Indv3	Case	Site2	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae
ASV2	Indv41	0.0202725437415882	Indv41	Case	Site1	Bacteria	Firmicutes	Bacilli	Bacillales	Gemellaceae
ASV18	Indv36	0.0202360876897133	Indv36	Control	Site1	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae
ASV17	Indv52	0.0202105432336869	Indv52	Control	Site1	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae
ASV125	Indv149	0.0201166336739607	Indv149	Case	Site2	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae
ASV21	Indv70	0.0200891372314242	Indv70	Control	Site1	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae
ASV18	Indv102	0.0200797959317156	Indv102	Control	Site1	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae
ASV4	Indv87	0.0200746268656716	Indv87	Case	Site1	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae
ASV50	Indv97	0.019979079497908	Indv97	Case	Site1	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae
