OTU	Sample	Abundance	SampleID	Group	Covariate	Kingdom	Phylum	Class
ASV137	Indv103	0	Indv103	Control	Site1	Bacteria	Absconditabacteria_(SR1)	<1%_Abundance
ASV137	Indv127	0	Indv127	Control	Site2	Bacteria	Absconditabacteria_(SR1)	<1%_Abundance
ASV137	Indv156	0	Indv156	Control	Site2	Bacteria	Absconditabacteria_(SR1)	<1%_Abundance
ASV137	Indv106	0	Indv106	Case	Site2	Bacteria	Absconditabacteria_(SR1)	<1%_Abundance
ASV137	Indv146	0	Indv146	Case	Site2	Bacteria	Absconditabacteria_(SR1)	<1%_Abundance
ASV137	Indv158	0	Indv158	Case	Site1	Bacteria	Absconditabacteria_(SR1)	<1%_Abundance
ASV137	Indv125	0	Indv125	Case	Site1	Bacteria	Absconditabacteria_(SR1)	<1%_Abundance
ASV137	Indv104	0	Indv104	Control	Site2	Bacteria	Absconditabacteria_(SR1)	<1%_Abundance
ASV137	Indv123	0	Indv123	Control	Site1	Bacteria	Absconditabacteria_(SR1)	<1%_Abundance
ASV137	Indv159	0	Indv159	Control	Site1	Bacteria	Absconditabacteria_(SR1)	<1%_Abundance
ASV137	Indv154	0	Indv154	Control	Site1	Bacteria	Absconditabacteria_(SR1)	<1%_Abundance
ASV137	Indv133	0	Indv133	Case	Site1	Bacteria	Absconditabacteria_(SR1)	<1%_Abundance
ASV137	Indv151	0	Indv151	Control	Site1	Bacteria	Absconditabacteria_(SR1)	<1%_Abundance
ASV137	Indv143	0	Indv143	Case	Site1	Bacteria	Absconditabacteria_(SR1)	<1%_Abundance
ASV137	Indv144	0	Indv144	Case	Site2	Bacteria	Absconditabacteria_(SR1)	<1%_Abundance
ASV137	Indv112	0	Indv112	Case	Site1	Bacteria	Absconditabacteria_(SR1)	<1%_Abundance
ASV137	Indv152	0	Indv152	Case	Site1	Bacteria	Absconditabacteria_(SR1)	<1%_Abundance
ASV137	Indv113	0	Indv113	Case	Site1	Bacteria	Absconditabacteria_(SR1)	<1%_Abundance
ASV137	Indv16	0	Indv16	Control	Site1	Bacteria	Absconditabacteria_(SR1)	<1%_Abundance
ASV137	Indv155	0	Indv155	Case	Site2	Bacteria	Absconditabacteria_(SR1)	<1%_Abundance
ASV137	Indv122	0	Indv122	Control	Site2	Bacteria	Absconditabacteria_(SR1)	<1%_Abundance
ASV137	Indv142	0	Indv142	Control	Site1	Bacteria	Absconditabacteria_(SR1)	<1%_Abundance
ASV137	Indv20	0	Indv20	Case	Site1	Bacteria	Absconditabacteria_(SR1)	<1%_Abundance
ASV137	Indv145	0	Indv145	Control	Site2	Bacteria	Absconditabacteria_(SR1)	<1%_Abundance
ASV137	Indv23	0	Indv23	Case	Site1	Bacteria	Absconditabacteria_(SR1)	<1%_Abundance
ASV137	Indv109	0	Indv109	Case	Site1	Bacteria	Absconditabacteria_(SR1)	<1%_Abundance
ASV137	Indv114	0	Indv114	Control	Site2	Bacteria	Absconditabacteria_(SR1)	<1%_Abundance
ASV137	Indv160	0	Indv160	Case	Site1	Bacteria	Absconditabacteria_(SR1)	<1%_Abundance
ASV137	Indv12	0	Indv12	Case	Site1	Bacteria	Absconditabacteria_(SR1)	<1%_Abundance
ASV137	Indv1	0	Indv1	Control	Site2	Bacteria	Absconditabacteria_(SR1)	<1%_Abundance
