SampleID	Group
10423.1FB1XL814HK5D	toronto
10423.1FKHCKNTEIEQL	toronto
10423.1FLKDMR79CDYZ	sandiego
10423.1G5I8NQ5O82DT	toronto
10423.1G7C15IDSUYR4	toronto
10423.1GH6QB60TRQ8	sandiego
10423.1GJ0OFHJH728A	sandiego
10423.1GPLUNKSHQ3F4	toronto
10423.1GWA720N6WF14	toronto
10423.1H4JET0FXFZYS	toronto
10423.1H8DIG3RD4I6E	sandiego
10423.1HAJB1DKE6O5R	toronto
10423.1HE4KRBWM376H	toronto
10423.1HNAZDG3XCQVB	sandiego
10423.1HST4JFZ31STR	sandiego
10423.1HW5H4617OOSU	toronto
10423.1HXTIN2KXP8JO	sandiego
10423.1I7NLQMBPM2T0	sandiego
10423.1IF621XA6CQLR	toronto
10423.1IJC5SI6IGIFF	sandiego
10423.1IZ3X2W8L8F0L	sandiego
10423.1JBP2RFWXZS95	toronto
10423.1JNVH3SBXDHYU	sandiego
10423.1KCZH79KLIYQ2	toronto
10423.1LH0Y835TWO67	toronto
10423.1LQ7G2AO0NVPS	sandiego
10423.1LQG9ZFN8FUWO	toronto
10423.1LT7CKFKTADVW	toronto
10423.1LWSMADX16WWM	toronto
10423.1M8H9KD2PJ0DS	toronto
10423.1MH88DQ4R47JZ	sandiego
10423.1MOZLU9DB4IED	toronto
10423.1MVBY57N3VKEB	toronto
10423.1N0U3B7I9KMCR	sandiego
10423.1N63BBZ3C019K	toronto
10423.1NL0VHEQRPXT8	sandiego
10423.1NW7CCK4BCME	toronto
10423.1O6SFS2MFQUQM	sandiego
10423.1O9VV7KEH43O2	sandiego
10423.1PD38BIVXXGXG	toronto
10423.1PILDHIR3MIVW	sandiego
10423.1PKLOMTUEO4Q7	toronto
10423.1PQUI0F8YOFYT	toronto
10423.1QECS47LW8JZ	toronto
10423.1QHYT97KXVIKC	toronto
10423.1QIGNJO54ESNM	sandiego
10423.1QJMUS44NW2B6	toronto
10423.1QUVZ18U725EY	sandiego
10423.1R55HXJQ8NC6X	toronto
10423.1RB8X39PY4R58	toronto
10423.1RD5VREJREXXP	sandiego
10423.1RFF41XX5Q6TN	toronto
10423.1RQ6H8PDDUNOW	sandiego
10423.1RQX5GAWS5WZ2	sandiego
10423.1S3OX0GR6TNJD	sandiego
10423.1SBGAGZZQTYDR	toronto
10423.1TD8FZ6WPER37	sandiego
10423.1TFHRHTKZ7NTW	toronto
10423.1TKZWNTG4WPSC	toronto
10423.1TMKS0DE69Z40	sandiego
10423.1TZMI2JTSRKP	sandiego
10423.1U10HVCHFGLKE	toronto
10423.1U9RGOPJH1SQL	toronto
10423.1UPJ4R0AOC1H0	sandiego
10423.1V5TQIJDA189	toronto
10423.1V64ZY9GIOA8X	toronto
10423.1WA319THDSWSH	toronto
10423.1WAFE4BBUBMQP	sandiego
10423.1WIOLVB4KV7OD	toronto
10423.1WKXU5UHZ6GKB	sandiego
10423.1WLFOGB25PQNL	sandiego
10423.1WXUZXVR8D3EX	toronto
10423.1WZVEBA5EWD3Z	sandiego
10423.1X6YETTYLYOE3	toronto
10423.1XADUCTBJR6XL	toronto
10423.1XEPSAD75YZ8H	toronto
10423.1XGDQL6G0HV4K	sandiego
10423.1XT5I5CAF5LOV	sandiego
10423.1XWN8XXREBDY9	toronto
10423.1XWWBIGY4K7H	sandiego
10423.1Y1NJTH2DH5TF	sandiego
10423.1Y5QNTVYRWYXF	toronto
10423.1YL0HLQ5SNXKK	toronto
10423.1YMXG9UZLY4D1	sandiego
10423.1YVFHXZRK9OHL	sandiego
10423.1YW0RXPW421HG	sandiego
10423.1ZFYMYOUIXPWA	toronto
10423.207TMF2PWG1RZ	sandiego
10423.2082JKAZZPOTM	toronto
10423.20B2JAJ7NTUUH	sandiego
10423.20F1RA4FPG52	toronto
10423.20HHYJQS9QJEU	sandiego
10423.20KHV1VP2D1KY	sandiego
10423.20O34RU1A9KLO	toronto
10423.20OC1X2BDJ7NB	toronto
10423.20SR2SVHSWMIM	sandiego
10423.2180ZSSZP590I	toronto
10423.21OAI5KB2YRU7	sandiego
10423.21V4LIVU6RG2O	toronto
10423.21WSJTP31ABYR	toronto
10423.221K0S3ESO4N1	toronto
10423.221SUP8E0G3TX	sandiego
10423.22AAZLGGU9BT8	toronto
10423.22AW9L6LE1OT3	sandiego
10423.22MKWV5R2DSA9	toronto
10423.22NBL2RAGP1KF	sandiego
10423.22QNXNHCLBXJI	toronto
10423.22TWUIXUCPQM0	toronto
10423.2303CMX4VCS4Q	sandiego
10423.23DCV9G8L24XK	toronto
10423.23F1HIC3TM5X	toronto
10423.23G3XUG65WNWS	sandiego
10423.23LM30G1BLPV8	toronto
10423.23TV7JCJ6NMY5	toronto
10423.23YMOHQUY1FMF	toronto
10423.24W8Q9CVKIGI7	toronto
10423.253ETQ5ZKQECQ	sandiego
10423.25AXD9K8WYQ08	sandiego
10423.25OXK3OW0ZC38	sandiego
10423.265JFAY1VBKV5	sandiego
10423.26RB2TP8EU5NA	sandiego
10423.26TKB48LT5EJ8	sandiego
10423.26XQI2WT0QU7N	sandiego
10423.275HVJG1KR521	toronto
10423.278QSEWJC4Y4J	toronto
10423.27E8UCT3MCC88	sandiego
10423.28J4IIL3HS1PV	sandiego
10423.28VJU05SKFEH7	sandiego
10423.28WMYACHAR1KC	sandiego
10423.2932DJK1WNQ4P	sandiego
10423.29BBLAJUN7B2D	sandiego
10423.29JTMYOMLIV6X	sandiego
10423.29M2YHBAVBRXM	sandiego
10423.2BJND9C0BQP5J	sandiego
10423.2BSQS5A7PCA4P	toronto
10423.2BZO1OYCHS8SC	sandiego
10423.2C4FFF9DDODLV	toronto
10423.2C9ONG0YG3SIO	toronto
10423.2CAFBNMHUF1SU	sandiego
10423.2CQFWV5J4YXKW	sandiego
10423.2CUA3QC5G53N9	toronto
10423.2DF22O67ML48U	toronto
10423.2DMH3A7LQ2P50	sandiego
10423.2DRZ8G7GVRR3G	sandiego
10423.2E795G4YS0DLC	sandiego
10423.2EDUBO87SJES6	toronto
10423.2ESIYOFL4ZOA7	toronto
10423.2ET0PQSUG1AIQ	sandiego
10423.2F61EG6YXYO4O	toronto
10423.2FBJJM6U3NQ34	sandiego
10423.2FMSNVBJMTT6W	toronto
10423.2GLX9PVE9ATOG	toronto
10423.2GP66LBW0OMQY	toronto
10423.2H4CKNWIO6IHI	toronto
10423.2HC3Y4FR86TBW	sandiego
10423.2HNYFLDW6MXAA	toronto
